19B,
Longitud de onda,Absorbancia
3589.49497,-0.01282
3588.78698,-0.01284
3588.079,-0.01287
3587.37101,-0.01289
3586.66302,-0.01291
3585.95504,-0.01293
3585.24705,-0.01295
3584.53906,-0.01297
3583.83107,-0.01298
3583.12309,-0.013
3582.4151,-0.01301
3581.70711,-0.01302
3580.99913,-0.01303
3580.29114,-0.01305
3579.58315,-0.01306
3578.87516,-0.01307
3578.16718,-0.01308
3577.45919,-0.01309
3576.7512,-0.01311
3576.04322,-0.01312
3575.33523,-0.01314
3574.62724,-0.01316
3573.91925,-0.01317
3573.21127,-0.01319
3572.50328,-0.01322
3571.79529,-0.01324
3571.0873,-0.01326
3570.37932,-0.01329
3569.67133,-0.01332
3568.96334,-0.01334
3568.25536,-0.01337
3567.54737,-0.0134
3566.83938,-0.01343
3566.13139,-0.01345
3565.42341,-0.01348
3564.71542,-0.01351
3564.00743,-0.01353
3563.29945,-0.01356
3562.59146,-0.01358
3561.88347,-0.0136
3561.17548,-0.01362
3560.4675,-0.01364
3559.75951,-0.01365
3559.05152,-0.01366
3558.34354,-0.01368
3557.63555,-0.01369
3556.92756,-0.0137
3556.21957,-0.01371
3555.51159,-0.01371
3554.8036,-0.01372
3554.09561,-0.01373
3553.38763,-0.01374
3552.67964,-0.01374
3551.97165,-0.01375
3551.26366,-0.01376
3550.55568,-0.01377
3549.84769,-0.01377
3549.1397,-0.01378
3548.43172,-0.01379
3547.72373,-0.01379
3547.01574,-0.0138
3546.30775,-0.0138
3545.59977,-0.01381
3544.89178,-0.01382
3544.18379,-0.01382
3543.47581,-0.01383
3542.76782,-0.01383
3542.05983,-0.01384
3541.35184,-0.01385
3540.64386,-0.01385
3539.93587,-0.01386
3539.22788,-0.01387
3538.51989,-0.01388
3537.81191,-0.01389
3537.10392,-0.0139
3536.39593,-0.01392
3535.68795,-0.01393
3534.97996,-0.01395
3534.27197,-0.01397
3533.56398,-0.01399
3532.856,-0.01401
3532.14801,-0.01403
3531.44002,-0.01405
3530.73204,-0.01408
3530.02405,-0.0141
3529.31606,-0.01413
3528.60807,-0.01416
3527.90009,-0.01418
3527.1921,-0.01421
3526.48411,-0.01424
3525.77613,-0.01427
3525.06814,-0.0143
3524.36015,-0.01433
3523.65216,-0.01435
3522.94418,-0.01438
3522.23619,-0.0144
3521.5282,-0.01443
3520.82022,-0.01445
3520.11223,-0.01447
3519.40424,-0.01449
3518.69625,-0.0145
3517.98827,-0.01452
3517.28028,-0.01454
3516.57229,-0.01455
3515.86431,-0.01457
3515.15632,-0.01458
3514.44833,-0.01459
3513.74034,-0.0146
3513.03236,-0.01462
3512.32437,-0.01463
3511.61638,-0.01464
3510.9084,-0.01465
3510.20041,-0.01466
3509.49242,-0.01467
3508.78443,-0.01468
3508.07645,-0.01469
3507.36846,-0.0147
3506.66047,-0.01471
3505.95248,-0.01472
3505.2445,-0.01474
3504.53651,-0.01475
3503.82852,-0.01476
3503.12054,-0.01478
3502.41255,-0.01479
3501.70456,-0.01481
3500.99657,-0.01483
3500.28859,-0.01485
3499.5806,-0.01486
3498.87261,-0.01488
3498.16463,-0.0149
3497.45664,-0.01492
3496.74865,-0.01494
3496.04066,-0.01496
3495.33268,-0.01498
3494.62469,-0.015
3493.9167,-0.01502
3493.20872,-0.01504
3492.50073,-0.01507
3491.79274,-0.01509
3491.08475,-0.01511
3490.37677,-0.01514
3489.66878,-0.01516
3488.96079,-0.01519
3488.25281,-0.01521
3487.54482,-0.01524
3486.83683,-0.01527
3486.12884,-0.0153
3485.42086,-0.01533
3484.71287,-0.01536
3484.00488,-0.01539
3483.2969,-0.01542
3482.58891,-0.01546
3481.88092,-0.01549
3481.17293,-0.01552
3480.46495,-0.01555
3479.75696,-0.01559
3479.04897,-0.01562
3478.34099,-0.01565
3477.633,-0.01568
3476.92501,-0.01571
3476.21702,-0.01575
3475.50904,-0.01578
3474.80105,-0.01581
3474.09306,-0.01584
3473.38507,-0.01588
3472.67709,-0.01591
3471.9691,-0.01595
3471.26111,-0.01598
3470.55313,-0.01602
3469.84514,-0.01606
3469.13715,-0.0161
3468.42916,-0.01614
3467.72118,-0.01618
3467.01319,-0.01623
3466.3052,-0.01627
3465.59722,-0.01632
3464.88923,-0.01637
3464.18124,-0.01642
3463.47325,-0.01647
3462.76527,-0.01652
3462.05728,-0.01658
3461.34929,-0.01663
3460.64131,-0.01668
3459.93332,-0.01674
3459.22533,-0.01679
3458.51734,-0.01684
3457.80936,-0.0169
3457.10137,-0.01695
3456.39338,-0.017
3455.6854,-0.01705
3454.97741,-0.0171
3454.26942,-0.01715
3453.56143,-0.01719
3452.85345,-0.01724
3452.14546,-0.01729
3451.43747,-0.01733
3450.72949,-0.01738
3450.0215,-0.01742
3449.31351,-0.01746
3448.60552,-0.01751
3447.89754,-0.01755
3447.18955,-0.01759
3446.48156,-0.01763
3445.77358,-0.01767
3445.06559,-0.01772
3444.3576,-0.01776
3443.64961,-0.0178
3442.94163,-0.01784
3442.23364,-0.01789
3441.52565,-0.01793
3440.81766,-0.01798
3440.10968,-0.01802
3439.40169,-0.01807
3438.6937,-0.01811
3437.98572,-0.01816
3437.27773,-0.0182
3436.56974,-0.01825
3435.86175,-0.0183
3435.15377,-0.01834
3434.44578,-0.01839
3433.73779,-0.01844
3433.02981,-0.01849
3432.32182,-0.01853
3431.61383,-0.01858
3430.90584,-0.01863
3430.19786,-0.01867
3429.48987,-0.01872
3428.78188,-0.01877
3428.0739,-0.01881
3427.36591,-0.01886
3426.65792,-0.01891
3425.94993,-0.01896
3425.24195,-0.01901
3424.53396,-0.01906
3423.82597,-0.01911
3423.11799,-0.01916
3422.41,-0.01921
3421.70201,-0.01926
3420.99402,-0.01931
3420.28604,-0.01936
3419.57805,-0.01941
3418.87006,-0.01945
3418.16208,-0.0195
3417.45409,-0.01955
3416.7461,-0.01959
3416.03811,-0.01964
3415.33013,-0.01968
3414.62214,-0.01973
3413.91415,-0.01977
3413.20617,-0.01981
3412.49818,-0.01985
3411.79019,-0.01989
3411.0822,-0.01992
3410.37422,-0.01996
3409.66623,-0.02
3408.95824,-0.02004
3408.25025,-0.02008
3407.54227,-0.02012
3406.83428,-0.02017
3406.12629,-0.02021
3405.41831,-0.02025
3404.71032,-0.0203
3404.00233,-0.02035
3403.29434,-0.0204
3402.58636,-0.02045
3401.87837,-0.0205
3401.17038,-0.02055
3400.4624,-0.0206
3399.75441,-0.02065
3399.04642,-0.0207
3398.33843,-0.02075
3397.63045,-0.0208
3396.92246,-0.02085
3396.21447,-0.02089
3395.50649,-0.02093
3394.7985,-0.02097
3394.09051,-0.02101
3393.38252,-0.02105
3392.67454,-0.02109
3391.96655,-0.02112
3391.25856,-0.02115
3390.55058,-0.02118
3389.84259,-0.02121
3389.1346,-0.02124
3388.42661,-0.02126
3387.71863,-0.02129
3387.01064,-0.02131
3386.30265,-0.02133
3385.59467,-0.02135
3384.88668,-0.02137
3384.17869,-0.02139
3383.4707,-0.02141
3382.76272,-0.02143
3382.05473,-0.02144
3381.34674,-0.02146
3380.63876,-0.02147
3379.93077,-0.02149
3379.22278,-0.02151
3378.51479,-0.02152
3377.80681,-0.02153
3377.09882,-0.02155
3376.39083,-0.02156
3375.68284,-0.02157
3374.97486,-0.02159
3374.26687,-0.0216
3373.55888,-0.02162
3372.8509,-0.02163
3372.14291,-0.02164
3371.43492,-0.02166
3370.72693,-0.02168
3370.01895,-0.0217
3369.31096,-0.02171
3368.60297,-0.02173
3367.89499,-0.02176
3367.187,-0.02178
3366.47901,-0.0218
3365.77102,-0.02183
3365.06304,-0.02185
3364.35505,-0.02188
3363.64706,-0.02191
3362.93908,-0.02194
3362.23109,-0.02196
3361.5231,-0.02199
3360.81511,-0.02202
3360.10713,-0.02205
3359.39914,-0.02207
3358.69115,-0.0221
3357.98317,-0.02212
3357.27518,-0.02214
3356.56719,-0.02217
3355.8592,-0.02218
3355.15122,-0.0222
3354.44323,-0.02222
3353.73524,-0.02223
3353.02726,-0.02224
3352.31927,-0.02225
3351.61128,-0.02225
3350.90329,-0.02225
3350.19531,-0.02225
3349.48732,-0.02225
3348.77933,-0.02225
3348.07135,-0.02224
3347.36336,-0.02223
3346.65537,-0.02222
3345.94738,-0.02221
3345.2394,-0.02219
3344.53141,-0.02218
3343.82342,-0.02216
3343.11543,-0.02214
3342.40745,-0.02213
3341.69946,-0.02211
3340.99147,-0.0221
3340.28349,-0.02209
3339.5755,-0.02207
3338.86751,-0.02206
3338.15952,-0.02205
3337.45154,-0.02204
3336.74355,-0.02203
3336.03556,-0.02203
3335.32758,-0.02202
3334.61959,-0.02202
3333.9116,-0.02201
3333.20361,-0.02201
3332.49563,-0.022
3331.78764,-0.022
3331.07965,-0.02199
3330.37167,-0.02199
3329.66368,-0.02198
3328.95569,-0.02197
3328.2477,-0.02196
3327.53972,-0.02195
3326.83173,-0.02194
3326.12374,-0.02193
3325.41576,-0.02191
3324.70777,-0.02189
3323.99978,-0.02187
3323.29179,-0.02185
3322.58381,-0.02183
3321.87582,-0.0218
3321.16783,-0.02177
3320.45985,-0.02175
3319.75186,-0.02172
3319.04387,-0.02168
3318.33588,-0.02165
3317.6279,-0.02162
3316.91991,-0.02158
3316.21192,-0.02155
3315.50394,-0.02152
3314.79595,-0.02148
3314.08796,-0.02145
3313.37997,-0.02142
3312.67199,-0.02138
3311.964,-0.02135
3311.25601,-0.02132
3310.54802,-0.0213
3309.84004,-0.02127
3309.13205,-0.02124
3308.42406,-0.02122
3307.71608,-0.0212
3307.00809,-0.02118
3306.3001,-0.02116
3305.59211,-0.02114
3304.88413,-0.02112
3304.17614,-0.0211
3303.46815,-0.02108
3302.76017,-0.02106
3302.05218,-0.02104
3301.34419,-0.02103
3300.6362,-0.02101
3299.92822,-0.02099
3299.22023,-0.02098
3298.51224,-0.02096
3297.80426,-0.02095
3297.09627,-0.02094
3296.38828,-0.02092
3295.68029,-0.02091
3294.97231,-0.0209
3294.26432,-0.02089
3293.55633,-0.02088
3292.84835,-0.02087
3292.14036,-0.02086
3291.43237,-0.02085
3290.72438,-0.02084
3290.0164,-0.02084
3289.30841,-0.02083
3288.60042,-0.02082
3287.89244,-0.02081
3287.18445,-0.02081
3286.47646,-0.0208
3285.76847,-0.02079
3285.06049,-0.02079
3284.3525,-0.02078
3283.64451,-0.02078
3282.93653,-0.02077
3282.22854,-0.02077
3281.52055,-0.02076
3280.81256,-0.02076
3280.10458,-0.02075
3279.39659,-0.02075
3278.6886,-0.02074
3277.98061,-0.02074
3277.27263,-0.02073
3276.56464,-0.02072
3275.85665,-0.02071
3275.14867,-0.0207
3274.44068,-0.02069
3273.73269,-0.02068
3273.0247,-0.02067
3272.31672,-0.02066
3271.60873,-0.02065
3270.90074,-0.02064
3270.19276,-0.02062
3269.48477,-0.02061
3268.77678,-0.0206
3268.06879,-0.02058
3267.36081,-0.02057
3266.65282,-0.02056
3265.94483,-0.02054
3265.23685,-0.02053
3264.52886,-0.02052
3263.82087,-0.0205
3263.11288,-0.02049
3262.4049,-0.02048
3261.69691,-0.02047
3260.98892,-0.02046
3260.28094,-0.02046
3259.57295,-0.02045
3258.86496,-0.02045
3258.15697,-0.02044
3257.44899,-0.02044
3256.741,-0.02044
3256.03301,-0.02045
3255.32503,-0.02045
3254.61704,-0.02045
3253.90905,-0.02046
3253.20106,-0.02046
3252.49308,-0.02046
3251.78509,-0.02047
3251.0771,-0.02047
3250.36912,-0.02047
3249.66113,-0.02047
3248.95314,-0.02047
3248.24515,-0.02047
3247.53717,-0.02047
3246.82918,-0.02047
3246.12119,-0.02046
3245.4132,-0.02046
3244.70522,-0.02045
3243.99723,-0.02045
3243.28924,-0.02045
3242.58126,-0.02044
3241.87327,-0.02044
3241.16528,-0.02044
3240.45729,-0.02043
