22C,
Longitud de onda,Absorbancia
3816.05087,-0.00153
3815.34288,-0.00153
3814.63489,-0.00154
3813.92691,-0.00155
3813.21892,-0.00156
3812.51093,-0.00157
3811.80294,-0.00157
3811.09496,-0.00158
3810.38697,-0.00159
3809.67898,-0.00159
3808.971,-0.0016
3808.26301,-0.0016
3807.55502,-0.0016
3806.84703,-0.00161
3806.13905,-0.00161
3805.43106,-0.00162
3804.72307,-0.00162
3804.01508,-0.00163
3803.3071,-0.00163
3802.59911,-0.00163
3801.89112,-0.00164
3801.18314,-0.00164
3800.47515,-0.00165
3799.76716,-0.00165
3799.05917,-0.00165
3798.35119,-0.00166
3797.6432,-0.00166
3796.93521,-0.00166
3796.22723,-0.00166
3795.51924,-0.00166
3794.81125,-0.00166
3794.10326,-0.00166
3793.39528,-0.00166
3792.68729,-0.00166
3791.9793,-0.00165
3791.27132,-0.00165
3790.56333,-0.00165
3789.85534,-0.00165
3789.14735,-0.00165
3788.43937,-0.00164
3787.73138,-0.00164
3787.02339,-0.00164
3786.31541,-0.00164
3785.60742,-0.00165
3784.89943,-0.00165
3784.19144,-0.00165
3783.48346,-0.00165
3782.77547,-0.00165
3782.06748,-0.00166
3781.3595,-0.00166
3780.65151,-0.00166
3779.94352,-0.00166
3779.23553,-0.00166
3778.52755,-0.00166
3777.81956,-0.00166
3777.11157,-0.00166
3776.40359,-0.00165
3775.6956,-0.00165
3774.98761,-0.00165
3774.27962,-0.00164
3773.57164,-0.00164
3772.86365,-0.00163
3772.15566,-0.00163
3771.44767,-0.00162
3770.73969,-0.00162
3770.0317,-0.00161
3769.32371,-0.00161
3768.61573,-0.00161
3767.90774,-0.0016
3767.19975,-0.0016
3766.49176,-0.0016
3765.78378,-0.0016
3765.07579,-0.00161
3764.3678,-0.00161
3763.65982,-0.00161
3762.95183,-0.00162
3762.24384,-0.00163
3761.53585,-0.00163
3760.82787,-0.00164
3760.11988,-0.00165
3759.41189,-0.00166
3758.70391,-0.00168
3757.99592,-0.00169
3757.28793,-0.00171
3756.57994,-0.00172
3755.87196,-0.00174
3755.16397,-0.00176
3754.45598,-0.00178
3753.748,-0.00179
3753.04001,-0.00181
3752.33202,-0.00183
3751.62403,-0.00185
3750.91605,-0.00187
3750.20806,-0.00189
3749.50007,-0.0019
3748.79209,-0.00192
3748.0841,-0.00193
3747.37611,-0.00194
3746.66812,-0.00195
3745.96014,-0.00196
3745.25215,-0.00196
3744.54416,-0.00196
3743.83618,-0.00196
3743.12819,-0.00196
3742.4202,-0.00196
3741.71221,-0.00195
3741.00423,-0.00194
3740.29624,-0.00194
3739.58825,-0.00193
3738.88026,-0.00192
3738.17228,-0.00192
3737.46429,-0.00191
3736.7563,-0.00191
3736.04832,-0.00191
3735.34033,-0.00191
3734.63234,-0.00191
3733.92435,-0.00192
3733.21637,-0.00192
3732.50838,-0.00193
3731.80039,-0.00194
3731.09241,-0.00195
3730.38442,-0.00197
3729.67643,-0.00198
3728.96844,-0.002
3728.26046,-0.00202
3727.55247,-0.00204
3726.84448,-0.00206
3726.1365,-0.00208
3725.42851,-0.0021
3724.72052,-0.00212
3724.01253,-0.00215
3723.30455,-0.00217
3722.59656,-0.00219
3721.88857,-0.00222
3721.18059,-0.00224
3720.4726,-0.00227
3719.76461,-0.00229
3719.05662,-0.00231
3718.34864,-0.00234
3717.64065,-0.00236
3716.93266,-0.00238
3716.22468,-0.00241
3715.51669,-0.00243
3714.8087,-0.00245
3714.10071,-0.00248
3713.39273,-0.0025
3712.68474,-0.00252
3711.97675,-0.00254
3711.26877,-0.00256
3710.56078,-0.00258
3709.85279,-0.0026
3709.1448,-0.00262
3708.43682,-0.00264
3707.72883,-0.00266
3707.02084,-0.00268
3706.31285,-0.00269
3705.60487,-0.00271
3704.89688,-0.00273
3704.18889,-0.00275
3703.48091,-0.00276
3702.77292,-0.00278
3702.06493,-0.0028
3701.35694,-0.00281
3700.64896,-0.00283
3699.94097,-0.00285
3699.23298,-0.00287
3698.525,-0.00289
3697.81701,-0.00291
3697.10902,-0.00294
3696.40103,-0.00297
3695.69305,-0.00299
3694.98506,-0.00302
3694.27707,-0.00306
3693.56909,-0.00309
3692.8611,-0.00313
3692.15311,-0.00317
3691.44512,-0.00321
3690.73714,-0.00325
3690.02915,-0.0033
3689.32116,-0.00335
3688.61318,-0.0034
3687.90519,-0.00345
3687.1972,-0.0035
3686.48921,-0.00355
3685.78123,-0.00361
3685.07324,-0.00366
3684.36525,-0.00372
3683.65727,-0.00377
3682.94928,-0.00383
3682.24129,-0.00388
3681.5333,-0.00394
3680.82532,-0.00401
3680.11733,-0.00407
3679.40934,-0.00414
3678.70136,-0.00421
3677.99337,-0.00428
3677.28538,-0.00436
3676.57739,-0.00444
3675.86941,-0.00452
3675.16142,-0.00461
3674.45343,-0.0047
3673.74544,-0.00479
3673.03746,-0.00488
3672.32947,-0.00497
3671.62148,-0.00507
3670.9135,-0.00516
3670.20551,-0.00526
3669.49752,-0.00535
3668.78953,-0.00544
3668.08155,-0.00553
3667.37356,-0.00561
3666.66557,-0.0057
3665.95759,-0.00578
3665.2496,-0.00586
3664.54161,-0.00594
3663.83362,-0.00602
3663.12564,-0.0061
3662.41765,-0.00618
3661.70966,-0.00626
3661.00168,-0.00635
3660.29369,-0.00643
3659.5857,-0.00651
3658.87771,-0.0066
3658.16973,-0.00669
3657.46174,-0.00678
3656.75375,-0.00688
3656.04577,-0.00698
3655.33778,-0.00708
3654.62979,-0.00718
3653.9218,-0.00729
3653.21382,-0.0074
3652.50583,-0.00751
3651.79784,-0.00762
3651.08986,-0.00773
3650.38187,-0.00784
3649.67388,-0.00796
3648.96589,-0.00807
3648.25791,-0.00818
3647.54992,-0.00828
3646.84193,-0.00839
3646.13395,-0.00849
3645.42596,-0.00858
3644.71797,-0.00868
3644.00998,-0.00877
3643.302,-0.00885
3642.59401,-0.00894
3641.88602,-0.00902
3641.17803,-0.0091
3640.47005,-0.00917
3639.76206,-0.00925
3639.05407,-0.00932
3638.34609,-0.0094
3637.6381,-0.00947
3636.93011,-0.00954
3636.22212,-0.00962
3635.51414,-0.00969
3634.80615,-0.00977
3634.09816,-0.00984
3633.39018,-0.00992
3632.68219,-0.01
3631.9742,-0.01008
3631.26621,-0.01015
3630.55823,-0.01023
3629.85024,-0.01031
3629.14225,-0.01039
3628.43427,-0.01046
3627.72628,-0.01054
3627.01829,-0.01061
3626.3103,-0.01069
3625.60232,-0.01076
3624.89433,-0.01084
3624.18634,-0.01091
3623.47836,-0.01098
3622.77037,-0.01105
3622.06238,-0.01112
3621.35439,-0.01119
3620.64641,-0.01126
3619.93842,-0.01133
3619.23043,-0.0114
3618.52245,-0.01146
3617.81446,-0.01153
3617.10647,-0.01159
3616.39848,-0.01165
3615.6905,-0.01171
3614.98251,-0.01177
3614.27452,-0.01183
3613.56654,-0.01188
3612.85855,-0.01193
3612.15056,-0.01197
3611.44257,-0.01201
3610.73459,-0.01205
3610.0266,-0.01208
3609.31861,-0.01211
3608.61063,-0.01214
3607.90264,-0.01216
3607.19465,-0.01218
3606.48666,-0.0122
3605.77868,-0.01222
3605.07069,-0.01224
3604.3627,-0.01225
3603.65471,-0.01227
3602.94673,-0.01228
3602.23874,-0.01229
3601.53075,-0.01231
3600.82277,-0.01232
3600.11478,-0.01234
3599.40679,-0.01236
3598.6988,-0.01238
3597.99082,-0.0124
3597.28283,-0.01243
3596.57484,-0.01245
3595.86686,-0.01248
3595.15887,-0.0125
3594.45088,-0.01253
3593.74289,-0.01256
3593.03491,-0.01259
3592.32692,-0.01263
3591.61893,-0.01266
3590.91095,-0.01269
3590.20296,-0.01272
3589.49497,-0.01275
3588.78698,-0.01278
3588.079,-0.0128
3587.37101,-0.01283
3586.66302,-0.01285
3585.95504,-0.01287
3585.24705,-0.01289
3584.53906,-0.01291
3583.83107,-0.01293
3583.12309,-0.01294
3582.4151,-0.01296
3581.70711,-0.01297
3580.99913,-0.01298
3580.29114,-0.01299
3579.58315,-0.013
3578.87516,-0.01301
3578.16718,-0.01302
3577.45919,-0.01303
3576.7512,-0.01305
3576.04322,-0.01306
3575.33523,-0.01308
3574.62724,-0.01309
3573.91925,-0.01311
3573.21127,-0.01313
3572.50328,-0.01315
3571.79529,-0.01318
3571.0873,-0.0132
3570.37932,-0.01322
3569.67133,-0.01325
3568.96334,-0.01327
3568.25536,-0.0133
3567.54737,-0.01332
3566.83938,-0.01335
3566.13139,-0.01337
3565.42341,-0.01339
3564.71542,-0.01341
3564.00743,-0.01343
3563.29945,-0.01344
3562.59146,-0.01346
3561.88347,-0.01347
3561.17548,-0.01348
3560.4675,-0.01349
3559.75951,-0.0135
3559.05152,-0.01351
3558.34354,-0.01352
3557.63555,-0.01353
3556.92756,-0.01354
3556.21957,-0.01355
3555.51159,-0.01356
3554.8036,-0.01357
3554.09561,-0.01358
3553.38763,-0.01359
3552.67964,-0.01361
3551.97165,-0.01362
3551.26366,-0.01363
3550.55568,-0.01365
3549.84769,-0.01366
3549.1397,-0.01368
3548.43172,-0.0137
3547.72373,-0.01371
3547.01574,-0.01373
3546.30775,-0.01374
3545.59977,-0.01375
3544.89178,-0.01377
3544.18379,-0.01378
3543.47581,-0.01379
3542.76782,-0.0138
3542.05983,-0.01381
3541.35184,-0.01382
3540.64386,-0.01382
3539.93587,-0.01383
3539.22788,-0.01384
3538.51989,-0.01384
3537.81191,-0.01385
3537.10392,-0.01386
3536.39593,-0.01387
3535.68795,-0.01388
3534.97996,-0.01388
3534.27197,-0.01389
3533.56398,-0.0139
3532.856,-0.01392
3532.14801,-0.01393
3531.44002,-0.01394
3530.73204,-0.01395
3530.02405,-0.01397
3529.31606,-0.01398
3528.60807,-0.014
3527.90009,-0.01401
3527.1921,-0.01402
3526.48411,-0.01404
3525.77613,-0.01405
3525.06814,-0.01406
3524.36015,-0.01408
3523.65216,-0.01409
3522.94418,-0.0141
3522.23619,-0.01411
3521.5282,-0.01412
3520.82022,-0.01412
3520.11223,-0.01413
3519.40424,-0.01414
3518.69625,-0.01415
3517.98827,-0.01415
3517.28028,-0.01416
3516.57229,-0.01417
3515.86431,-0.01418
3515.15632,-0.01419
3514.44833,-0.0142
3513.74034,-0.01422
3513.03236,-0.01423
3512.32437,-0.01425
3511.61638,-0.01427
3510.9084,-0.01429
3510.20041,-0.01431
3509.49242,-0.01433
3508.78443,-0.01435
3508.07645,-0.01438
3507.36846,-0.01441
3506.66047,-0.01443
3505.95248,-0.01446
