23A,
Longitud de onda,Absorbancia
3697.10902,-0.00181
3696.40103,-0.00183
3695.69305,-0.00185
3694.98506,-0.00188
3694.27707,-0.0019
3693.56909,-0.00193
3692.8611,-0.00196
3692.15311,-0.00199
3691.44512,-0.00203
3690.73714,-0.00207
3690.02915,-0.00211
3689.32116,-0.00215
3688.61318,-0.00219
3687.90519,-0.00224
3687.1972,-0.0023
3686.48921,-0.00236
3685.78123,-0.00242
3685.07324,-0.00249
3684.36525,-0.00256
3683.65727,-0.00263
3682.94928,-0.00271
3682.24129,-0.00279
3681.5333,-0.00288
3680.82532,-0.00297
3680.11733,-0.00306
3679.40934,-0.00316
3678.70136,-0.00325
3677.99337,-0.00335
3677.28538,-0.00345
3676.57739,-0.00354
3675.86941,-0.00364
3675.16142,-0.00373
3674.45343,-0.00382
3673.74544,-0.00391
3673.03746,-0.004
3672.32947,-0.00408
3671.62148,-0.00416
3670.9135,-0.00424
3670.20551,-0.00432
3669.49752,-0.00439
3668.78953,-0.00446
3668.08155,-0.00453
3667.37356,-0.0046
3666.66557,-0.00467
3665.95759,-0.00474
3665.2496,-0.00481
3664.54161,-0.00489
3663.83362,-0.00496
3663.12564,-0.00504
3662.41765,-0.00511
3661.70966,-0.00519
3661.00168,-0.00528
3660.29369,-0.00536
3659.5857,-0.00545
3658.87771,-0.00554
3658.16973,-0.00564
3657.46174,-0.00573
3656.75375,-0.00583
3656.04577,-0.00593
3655.33778,-0.00604
3654.62979,-0.00614
3653.9218,-0.00625
3653.21382,-0.00635
3652.50583,-0.00646
3651.79784,-0.00656
3651.08986,-0.00667
3650.38187,-0.00678
3649.67388,-0.00688
3648.96589,-0.00698
3648.25791,-0.00708
3647.54992,-0.00718
3646.84193,-0.00727
3646.13395,-0.00736
3645.42596,-0.00745
3644.71797,-0.00754
3644.00998,-0.00763
3643.302,-0.00771
3642.59401,-0.00779
3641.88602,-0.00788
3641.17803,-0.00796
3640.47005,-0.00804
3639.76206,-0.00812
3639.05407,-0.0082
3638.34609,-0.00828
3637.6381,-0.00837
3636.93011,-0.00845
3636.22212,-0.00853
3635.51414,-0.00861
3634.80615,-0.0087
3634.09816,-0.00878
3633.39018,-0.00886
3632.68219,-0.00894
3631.9742,-0.00902
3631.26621,-0.0091
3630.55823,-0.00918
3629.85024,-0.00925
3629.14225,-0.00932
3628.43427,-0.00939
3627.72628,-0.00946
3627.01829,-0.00953
3626.3103,-0.00959
3625.60232,-0.00966
3624.89433,-0.00972
3624.18634,-0.00978
3623.47836,-0.00984
3622.77037,-0.0099
3622.06238,-0.00996
3621.35439,-0.01002
3620.64641,-0.01007
3619.93842,-0.01013
3619.23043,-0.01018
3618.52245,-0.01023
3617.81446,-0.01028
3617.10647,-0.01033
3616.39848,-0.01038
3615.6905,-0.01043
3614.98251,-0.01047
3614.27452,-0.01051
3613.56654,-0.01055
3612.85855,-0.01059
3612.15056,-0.01063
3611.44257,-0.01067
3610.73459,-0.01071
3610.0266,-0.01075
3609.31861,-0.01078
3608.61063,-0.01082
3607.90264,-0.01086
3607.19465,-0.01089
3606.48666,-0.01093
3605.77868,-0.01096
3605.07069,-0.011
3604.3627,-0.01103
3603.65471,-0.01107
3602.94673,-0.0111
3602.23874,-0.01114
3601.53075,-0.01117
3600.82277,-0.0112
3600.11478,-0.01123
3599.40679,-0.01126
3598.6988,-0.01129
3597.99082,-0.01131
3597.28283,-0.01134
3596.57484,-0.01137
3595.86686,-0.01139
3595.15887,-0.01142
3594.45088,-0.01144
3593.74289,-0.01147
3593.03491,-0.01149
3592.32692,-0.01152
3591.61893,-0.01155
3590.91095,-0.01157
3590.20296,-0.0116
3589.49497,-0.01163
3588.78698,-0.01165
3588.079,-0.01168
3587.37101,-0.01171
3586.66302,-0.01173
3585.95504,-0.01176
3585.24705,-0.01178
3584.53906,-0.01181
3583.83107,-0.01183
3583.12309,-0.01185
3582.4151,-0.01187
3581.70711,-0.01189
3580.99913,-0.01191
3580.29114,-0.01193
3579.58315,-0.01194
3578.87516,-0.01196
3578.16718,-0.01197
3577.45919,-0.01199
3576.7512,-0.012
3576.04322,-0.01202
3575.33523,-0.01203
3574.62724,-0.01204
3573.91925,-0.01205
3573.21127,-0.01207
3572.50328,-0.01208
3571.79529,-0.01209
3571.0873,-0.01209
3570.37932,-0.0121
3569.67133,-0.01211
3568.96334,-0.01211
3568.25536,-0.01212
3567.54737,-0.01212
3566.83938,-0.01212
3566.13139,-0.01213
3565.42341,-0.01213
3564.71542,-0.01213
3564.00743,-0.01213
